goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=1/mix=all_mut/shape=small_10-10         	85975786	         7.262 ns/op	1377.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=small_10-10         	84860131	         7.230 ns/op	1383.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=small_10-10         	  334556	      1777 ns/op	   5.63 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=small_10-10         	  357206	      1845 ns/op	   5.42 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=small_10-10         	  113650	      5165 ns/op	   1.94 MB/s	    8856 B/op	     177 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=small_10-10         	  117327	      5410 ns/op	   1.85 MB/s	    8856 B/op	     177 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=small_10-10         	   50727	     13135 ns/op	   0.76 MB/s	   20664 B/op	     413 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=small_10-10         	   51430	     11216 ns/op	   0.89 MB/s	   20664 B/op	     413 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=small_10-10        	   24514	     24247 ns/op	   0.41 MB/s	   44280 B/op	     885 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=small_10-10        	   24529	     27359 ns/op	   0.37 MB/s	   44280 B/op	     885 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=small_10-10          	254369996	         2.312 ns/op	4325.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=small_10-10          	265694420	         2.262 ns/op	4420.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=small_10-10          	65747421	         9.547 ns/op	1047.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=small_10-10          	60363691	         9.878 ns/op	1012.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=small_10-10          	40094778	        15.08 ns/op	 662.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=small_10-10          	19343970	        25.92 ns/op	 385.82 MB/s	       0 B/op	       0 allocs/op
