goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=1/mix=all_mut/shape=small_10-10         	84492166	         8.699 ns/op	1149.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=small_10-10         	84125904	         7.779 ns/op	1285.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=small_10-10         	  354314	      1687 ns/op	   5.93 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=small_10-10         	  367459	      1943 ns/op	   5.15 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=small_10-10         	  123524	      5488 ns/op	   1.82 MB/s	    8856 B/op	     177 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=small_10-10         	  116918	      4903 ns/op	   2.04 MB/s	    8856 B/op	     177 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=small_10-10         	   25502	     19655 ns/op	   0.51 MB/s	   20664 B/op	     413 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=small_10-10         	   49681	     13080 ns/op	   0.76 MB/s	   20664 B/op	     413 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=small_10-10        	   20245	     27666 ns/op	   0.36 MB/s	   44280 B/op	     885 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=small_10-10        	   24927	     26914 ns/op	   0.37 MB/s	   44280 B/op	     885 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=small_10-10          	261446024	         2.334 ns/op	4284.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=small_10-10          	229811095	         2.514 ns/op	3977.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=small_10-10          	61695338	        10.46 ns/op	 956.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=small_10-10          	63843092	         9.211 ns/op	1085.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=small_10-10          	39884004	        16.32 ns/op	 612.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=small_10-10          	37515043	        17.06 ns/op	 586.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=small_10-10          	20835231	        28.46 ns/op	 351.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=small_10-10          	20545218	        34.06 ns/op	 293.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=small_10-10         	 9709587	        68.90 ns/op	 145.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=small_10-10         	 8757451	        62.00 ns/op	 161.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=small_10-10            	228997071	         2.552 ns/op	3918.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=small_10-10            	254498930	         2.499 ns/op	4001.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=small_10-10            	  325125	      1834 ns/op	   5.45 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=small_10-10            	  340947	      1991 ns/op	   5.02 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=small_10-10            	  175300	      4937 ns/op	   2.03 MB/s	    5904 B/op	     118 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=small_10-10            	  159030	      3695 ns/op	   2.71 MB/s	    5904 B/op	     118 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=small_10-10            	   87988	      6811 ns/op	   1.47 MB/s	   11808 B/op	     236 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=small_10-10            	   87741	      8663 ns/op	   1.15 MB/s	   11808 B/op	     236 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=small_10-10           	   41514	     15108 ns/op	   0.66 MB/s	   23616 B/op	     472 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=small_10-10           	   42782	     13928 ns/op	   0.72 MB/s	   23616 B/op	     472 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=small_10-10 	85094312	         9.561 ns/op	1045.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=small_10-10 	73655929	         8.056 ns/op	1241.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=small_10-10 	  341683	      1925 ns/op	   5.20 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=2/mix=one_mut_rest_ro/shape=small_10-10 	  359912	      2863 ns/op	   3.49 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=4/mix=one_mut_rest_ro/shape=small_10-10 	  318277	      2010 ns/op	   4.97 MB/s	    2952 B/op	      59 allocs/op
