goos: darwin
goarch: arm64
pkg: go.opentelemetry.io/collector/internal/fanoutconsumer
cpu: Apple M1 Max
BenchmarkLogsFanout/n=1/mix=all_mut/shape=small_10-10         	83670273	         7.019 ns/op	1424.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_mut/shape=small_10-10         	84264739	         6.818 ns/op	1466.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=small_10-10         	  401211	      1637 ns/op	   6.11 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=2/mix=all_mut/shape=small_10-10         	  401818	      1600 ns/op	   6.25 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=small_10-10         	  114418	      4586 ns/op	   2.18 MB/s	    8856 B/op	     177 allocs/op
BenchmarkLogsFanout/n=4/mix=all_mut/shape=small_10-10         	  127514	      5254 ns/op	   1.90 MB/s	    8856 B/op	     177 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=small_10-10         	   57349	     11327 ns/op	   0.88 MB/s	   20664 B/op	     413 allocs/op
BenchmarkLogsFanout/n=8/mix=all_mut/shape=small_10-10         	   55486	     10936 ns/op	   0.91 MB/s	   20664 B/op	     413 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=small_10-10        	   22651	     22694 ns/op	   0.44 MB/s	   44280 B/op	     885 allocs/op
BenchmarkLogsFanout/n=16/mix=all_mut/shape=small_10-10        	   22429	     23307 ns/op	   0.43 MB/s	   44280 B/op	     885 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=small_10-10          	279720169	         2.224 ns/op	4495.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=all_ro/shape=small_10-10          	284056668	         2.185 ns/op	4576.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=small_10-10          	68569140	         8.805 ns/op	1135.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=all_ro/shape=small_10-10          	59594014	         8.871 ns/op	1127.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=small_10-10          	39999666	        14.62 ns/op	 683.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=4/mix=all_ro/shape=small_10-10          	40320547	        14.56 ns/op	 686.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=small_10-10          	21981913	        28.17 ns/op	 354.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=8/mix=all_ro/shape=small_10-10          	22431268	        26.87 ns/op	 372.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=small_10-10         	10523961	        56.29 ns/op	 177.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=16/mix=all_ro/shape=small_10-10         	10618426	        60.31 ns/op	 165.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=small_10-10            	280659736	         2.139 ns/op	4674.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=half/shape=small_10-10            	285729932	         2.170 ns/op	4607.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=small_10-10            	  397779	      1544 ns/op	   6.48 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=2/mix=half/shape=small_10-10            	  332796	      1656 ns/op	   6.04 MB/s	    2952 B/op	      59 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=small_10-10            	  198775	      3253 ns/op	   3.07 MB/s	    5904 B/op	     118 allocs/op
BenchmarkLogsFanout/n=4/mix=half/shape=small_10-10            	  197732	      3331 ns/op	   3.00 MB/s	    5904 B/op	     118 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=small_10-10            	   92508	      6605 ns/op	   1.51 MB/s	   11808 B/op	     236 allocs/op
BenchmarkLogsFanout/n=8/mix=half/shape=small_10-10            	   95222	      5981 ns/op	   1.67 MB/s	   11808 B/op	     236 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=small_10-10           	   45770	     13827 ns/op	   0.72 MB/s	   23616 B/op	     472 allocs/op
BenchmarkLogsFanout/n=16/mix=half/shape=small_10-10           	   49520	     13608 ns/op	   0.73 MB/s	   23616 B/op	     472 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=small_10-10 	87523087	         7.054 ns/op	1417.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkLogsFanout/n=1/mix=one_mut_rest_ro/shape=small_10-10 	79120872	         6.936 ns/op	1441.67 MB/s	       0 B/op	       0 allocs/op
